ARG	sampleID	DepthPG	drug_type	res_mechanism	sampleType
mfpA	AH.T5	6.97534615384615	fluoroquinolone	antibiotic target alteration	mine
multidrug_ABC_transporter	AH.T5	255.901076923077	multidrug	antibiotic efflux	mine
oleB	AH.T5	0.304461538461538	MLS	antibiotic target alteration	mine
opcM	AH.T5	0.200461538461538	multidrug	antibiotic efflux	mine
oprM	AH.T5	0.0375769230769231	multidrug	antibiotic efflux	mine
oprN	AH.T5	0.0526923076923077	multidrug	antibiotic efflux	mine
oqxA	AH.T5	0.0959230769230769	multidrug	antibiotic efflux	mine
PBP-1B	AH.T5	0.0464615384615385	beta-lactam	antibiotic target alteration	mine
penA	AH.T5	265.799307692308	beta-lactam	antibiotic target alteration	mine
PmrF	AH.T5	20.3031153846154	peptide	antibiotic target alteration	mine
puromycin_resistance_protein	AH.T5	0.343423076923077	nucleoside	unknown	mine
QnrVC5	AH.T5	0.646846153846154	fluoroquinolone	antibiotic target alteration	mine
RlmA(II)	AH.T5	0.118346153846154	MLS	antibiotic target alteration	mine
rosB	AH.T5	3.00965384615385	fosmidomycin	antibiotic efflux	mine
rpoB2	AH.T5	0.8	multidrug	multiple mechanisms	mine
RSA-1	AH.T5	0.119423076923077	beta-lactam	antibiotic inactivation	mine
sgm	AH.T5	0.146230769230769	aminoglycoside	antibiotic target alteration	mine
smeC	AH.T5	0.0818461538461538	multidrug	antibiotic efflux	mine
srmB	AH.T5	0.0865	MLS	antibiotic target alteration	mine
Staphylococcus_mupA_conferring_resistance_to_mupirocin	AH.T5	0.317153846153846	mupirocin	antibiotic target alteration	mine
sul3	AH.T5	14.0039615384615	sulfonamide	antibiotic target alteration	mine
sul4	AH.T5	89.2482307692308	sulfonamide	antibiotic target alteration	mine
tet34	AH.T5	0.433692307692308	tetracycline	multiple mechanisms	mine
tetA(48)	AH.T5	24.4945384615385	tetracycline	antibiotic efflux	mine
tetB(48)	AH.T5	1.11015384615385	tetracycline	antibiotic efflux	mine
tlcC	AH.T5	42.7306923076923	MLS	unknown	mine
TolC	AH.T5	187.120846153846	multidrug	antibiotic efflux	mine
TriA	AH.T5	0.0525384615384615	triclosan	antibiotic efflux	mine
TriC	AH.T5	0.0735384615384615	triclosan	antibiotic efflux	mine
ugd	AH.T5	0.148307692307692	peptide	antibiotic target alteration	mine
vanB	AH.T5	1.15138461538462	glycopeptide	antibiotic target alteration	mine
vanG	AH.T5	112.835461538462	glycopeptide	antibiotic target alteration	mine
vanH	AH.T5	1.84853846153846	glycopeptide	antibiotic target alteration	mine
vanHB	AH.T5	1.72773076923077	glycopeptide	antibiotic target alteration	mine
vanTrL	AH.T5	0.102038461538462	glycopeptide	antibiotic target alteration	mine
vanX	AH.T5	114.092384615385	glycopeptide	antibiotic target alteration	mine
vgbC	AH.T5	0.106846153846154	MLS	antibiotic inactivation	mine
aac(3)-I	ERR1713332	3.37422222222222	aminoglycoside	antibiotic inactivation	sewage
aac(3)-II	ERR1713332	0.0371919191919192	aminoglycoside	antibiotic inactivation	sewage
aac(6')-I	ERR1713332	7.25708080808081	aminoglycoside	antibiotic inactivation	sewage
AAC(6')-Iak	ERR1713332	0.34410101010101	aminoglycoside	antibiotic inactivation	sewage
AAC(6')-Ib7	ERR1713332	0.273838383838384	aminoglycoside	antibiotic inactivation	sewage
AAC(6')-Ie-APH(2'')-Ia	ERR1713332	0.13110101010101	aminoglycoside	antibiotic inactivation	sewage
aac(6')-II	ERR1713332	0.16450505050505	aminoglycoside	antibiotic inactivation	sewage
aadA	ERR1713332	12.3286060606061	aminoglycoside	antibiotic inactivation	sewage
aadA13	ERR1713332	0.622464646464646	aminoglycoside	antibiotic inactivation	sewage
aadE	ERR1713332	0.465606060606061	aminoglycoside	antibiotic inactivation	sewage
aadK	ERR1713332	0.0703636363636364	aminoglycoside	antibiotic inactivation	sewage
abeM	ERR1713332	19.6888888888889	multidrug	antibiotic efflux	sewage
abeS	ERR1713332	24.617595959596	multidrug	antibiotic efflux	sewage
ACI-1	ERR1713332	0.0170606060606061	beta-lactam	antibiotic inactivation	sewage
acrA	ERR1713332	7.61455555555556	multidrug	antibiotic efflux	sewage
acrB	ERR1713332	17.1262323232323	multidrug	antibiotic efflux	sewage
acrF	ERR1713332	0.238414141414141	multidrug	antibiotic efflux	sewage
AcrF	ERR1713332	0.087020202020202	multidrug	antibiotic efflux	sewage
ADC-12	ERR1713332	6.23652525252525	beta-lactam	antibiotic inactivation	sewage
ADC-16	ERR1713332	2.19780808080808	beta-lactam	antibiotic inactivation	sewage
ADC-21	ERR1713332	0.334363636363636	beta-lactam	antibiotic inactivation	sewage
ADC-8	ERR1713332	0.0623131313131313	beta-lactam	antibiotic inactivation	sewage
adeA	ERR1713332	0.546949494949495	multidrug	antibiotic efflux	sewage
adeB	ERR1713332	0.389787878787879	multidrug	antibiotic efflux	sewage
adeC	ERR1713332	4.21937373737374	multidrug	antibiotic efflux	sewage
adeF	ERR1713332	0.147111111111111	multidrug	antibiotic efflux	sewage
adeH	ERR1713332	0.378515151515151	multidrug	antibiotic efflux	sewage
adeI	ERR1713332	29.1907676767677	multidrug	antibiotic efflux	sewage
adeJ	ERR1713332	6.58186868686869	multidrug	antibiotic efflux	sewage
adeK	ERR1713332	22.0502424242424	multidrug	antibiotic efflux	sewage
adeS	ERR1713332	0.818585858585859	multidrug	antibiotic efflux	sewage
ADP-ribosylating_transferase_arr	ERR1713332	0.674292929292929	rifamycin	antibiotic inactivation	sewage
AER-1	ERR1713332	0.247373737373737	beta-lactam	antibiotic inactivation	sewage
AIM-1	ERR1713332	0.241616161616162	beta-lactam	antibiotic inactivation	sewage
ant(2'')-I	ERR1713332	0.110909090909091	aminoglycoside	antibiotic inactivation	sewage
ANT(3'')-IIa	ERR1713332	0.0772424242424242	aminoglycoside	antibiotic inactivation	sewage
ANT(3'')-IIc	ERR1713332	1.56880808080808	aminoglycoside	antibiotic inactivation	sewage
ant(9)-I	ERR1713332	0.124515151515152	aminoglycoside	antibiotic inactivation	sewage
aph(3''')-III	ERR1713332	0.136242424242424	aminoglycoside	antibiotic inactivation	sewage
aph(3'')-I	ERR1713332	0.716484848484849	aminoglycoside	antibiotic inactivation	sewage
aph(3'')-IV	ERR1713332	0.0565858585858586	aminoglycoside	antibiotic inactivation	sewage
aph(3')-I	ERR1713332	21.6370808080808	aminoglycoside	antibiotic inactivation	sewage
APH(3')-IIa	ERR1713332	0.0383737373737374	aminoglycoside	antibiotic inactivation	sewage
aph(3')-IIb	ERR1713332	0.566060606060606	aminoglycoside	antibiotic inactivation	sewage
APH(3')-IX	ERR1713332	0.0764949494949495	aminoglycoside	antibiotic inactivation	sewage
aph(6)-I	ERR1713332	1.56208080808081	aminoglycoside	antibiotic inactivation	sewage
arlS	ERR1713332	0.456171717171717	multidrug	antibiotic efflux	sewage
arnA	ERR1713332	0.248181818181818	polymyxin	antibiotic target alteration	sewage
bacA	ERR1713332	76.0649595959596	bacitracin	antibiotic target alteration	sewage
baeR	ERR1713332	8.82757575757576	multidrug	antibiotic efflux	sewage
bcrA	ERR1713332	45.3177474747475	bacitracin	antibiotic efflux	sewage
bcrC	ERR1713332	0.0428484848484849	bacitracin	antibiotic target alteration	sewage
bicyclomycin-multidrug_efflux_protein_bcr	ERR1713332	21.196303030303	multidrug	antibiotic efflux	sewage
blaI	ERR1713332	0.545565656565656	beta-lactam	antibiotic inactivation	sewage
blaR1	ERR1713332	0.544818181818182	beta-lactam	antibiotic inactivation	sewage
bleO	ERR1713332	0.0997474747474748	glycopeptide	unknown	sewage
bpeF	ERR1713332	0.405242424242424	multidrug	antibiotic efflux	sewage
BRP(MBL)	ERR1713332	0.410757575757576	glycopeptide	antibiotic inactivation	sewage
Brucella_suis_mprF	ERR1713332	0.0826969696969697	peptide	antibiotic target alteration	sewage
Burkholderia_pseudomallei_Omp38	ERR1713332	13.8552525252525	beta-lactam	reduced permeability to antibiotic	sewage
BUT-1	ERR1713332	0.489222222222222	beta-lactam	antibiotic inactivation	sewage
carA	ERR1713332	0.436484848484848	MLS	antibiotic target alteration	sewage
CARB-7	ERR1713332	3.76145454545455	beta-lactam	antibiotic inactivation	sewage
carO	ERR1713332	14.3960303030303	beta-lactam	multiple mechanisms	sewage
cat_chloramphenicol_acetyltransferase	ERR1713332	13.9167373737374	phenicol	antibiotic inactivation	sewage
catA	ERR1713332	0.0745555555555556	phenicol	antibiotic inactivation	sewage
catB	ERR1713332	2.34984848484848	phenicol	antibiotic inactivation	sewage
cdeA	ERR1713332	1.30349494949495	multidrug	antibiotic efflux	sewage
ceoB	ERR1713332	3.03687878787879	multidrug	antibiotic efflux	sewage
cfrC	ERR1713332	8.02939393939394	phenicol	antibiotic target alteration	sewage
CfxA2	ERR1713332	0.0933737373737374	beta-lactam	antibiotic inactivation	sewage
CfxA6	ERR1713332	0.134979797979798	beta-lactam	antibiotic inactivation	sewage
chloramphenicol_and_florfenicol_resistance	ERR1713332	30.2344141414141	phenicol	antibiotic efflux	sewage
chloramphenicol_exporter	ERR1713332	2.2820505050505	phenicol	antibiotic efflux	sewage
chrB	ERR1713332	1.94808080808081	MLS	antibiotic target alteration	sewage
class_A	ERR1713332	7.04034343434343	beta-lactam	antibiotic inactivation	sewage
class_B	ERR1713332	0.0155454545454545	beta-lactam	antibiotic inactivation	sewage
class_C	ERR1713332	5.81940404040404	beta-lactam	antibiotic inactivation	sewage
clbA	ERR1713332	3.5759797979798	phenicol	antibiotic target alteration	sewage
clbB	ERR1713332	6.89048484848485	phenicol	antibiotic target alteration	sewage
clbC	ERR1713332	24.7374444444444	phenicol	antibiotic target alteration	sewage
cmeA	ERR1713332	0.611545454545455	multidrug	antibiotic efflux	sewage
cmeB	ERR1713332	5.01184848484848	multidrug	antibiotic efflux	sewage
cmlA	ERR1713332	0.130111111111111	phenicol	antibiotic efflux	sewage
cmrA	ERR1713332	1.76994949494949	phenicol	antibiotic efflux	sewage
CMY-4	ERR1713332	0.0618787878787879	beta-lactam	antibiotic inactivation	sewage
cob(I)alamin_adenolsyltransferase	ERR1713332	24.1440202020202	unclassified	unknown	sewage
cpaA	ERR1713332	0.644040404040404	aminoglycoside	antibiotic inactivation	sewage
cpxA	ERR1713332	0.452686868686869	aminoglycoside:aminocoumarin	antibiotic efflux	sewage
CrpP	ERR1713332	0.151515151515152	fluoroquinolone	antibiotic inactivation	sewage
CTX-M	ERR1713332	0.0763535353535354	beta-lactam	antibiotic inactivation	sewage
CTX-M-137	ERR1713332	0.0162424242424242	beta-lactam	antibiotic inactivation	sewage
CTX-M-14	ERR1713332	0.620323232323232	beta-lactam	antibiotic inactivation	sewage
cystathionine_beta-lyase_patB	ERR1713332	7.57393939393939	unclassified	unknown	sewage
dfrA1	ERR1713332	17.7824242424242	diaminopyrimidine	antibiotic target alteration	sewage
dfrA14	ERR1713332	0.0296969696969697	diaminopyrimidine	antibiotic target alteration	sewage
dfrA17	ERR1713332	0.023050505050505	diaminopyrimidine	antibiotic target alteration	sewage
dfrA20	ERR1713332	0.521838383838384	diaminopyrimidine	antibiotic target alteration	sewage
dfrA21	ERR1713332	1.32887878787879	diaminopyrimidine	antibiotic target alteration	sewage
dfrA22	ERR1713332	0.475454545454545	diaminopyrimidine	antibiotic target alteration	sewage
dfrA3	ERR1713332	45.9549292929293	diaminopyrimidine	antibiotic target alteration	sewage
dfrC	ERR1713332	0.330444444444444	diaminopyrimidine	antibiotic target alteration	sewage
dfrD	ERR1713332	1.77422222222222	diaminopyrimidine	antibiotic target alteration	sewage
dfrE	ERR1713332	2.04293939393939	diaminopyrimidine	antibiotic target alteration	sewage
dfrF	ERR1713332	14.0690404040404	diaminopyrimidine	antibiotic target alteration	sewage
dfrG	ERR1713332	2.6389696969697	diaminopyrimidine	antibiotic target alteration	sewage
dfrK	ERR1713332	1.82082828282828	diaminopyrimidine	antibiotic target alteration	sewage
EdeQ	ERR1713332	0.705030303030303	polyamine:peptide	antibiotic inactivation	sewage
efmA	ERR1713332	3.62058585858586	multidrug	antibiotic efflux	sewage
efrA	ERR1713332	8.89859595959596	multidrug	antibiotic efflux	sewage
efrB	ERR1713332	3.05790909090909	multidrug	antibiotic efflux	sewage
emrA	ERR1713332	33.1664444444444	multidrug	antibiotic efflux	sewage
emrB	ERR1713332	4.24519191919192	multidrug	antibiotic efflux	sewage
EmrB-QacA_family_major_facilitator_transporter	ERR1713332	1.53916161616162	multidrug	antibiotic efflux	sewage
emrD	ERR1713332	0.962272727272727	multidrug	antibiotic efflux	sewage
emrE	ERR1713332	32.0443131313131	multidrug	antibiotic efflux	sewage
emrK	ERR1713332	0.44820202020202	multidrug	antibiotic efflux	sewage
eptA	ERR1713332	33.8974343434343	peptide	antibiotic target alteration	sewage
ereA	ERR1713332	0.48979797979798	MLS	antibiotic inactivation	sewage
ereB	ERR1713332	1.19480808080808	MLS	antibiotic inactivation	sewage
erm(39)	ERR1713332	0.0166666666666667	MLS	antibiotic target alteration	sewage
Erm(42)	ERR1713332	0.218606060606061	MLS	antibiotic target alteration	sewage
Erm(47)	ERR1713332	0.115838383838384	MLS	antibiotic target alteration	sewage
erm(TR)	ERR1713332	0.0827878787878788	MLS	antibiotic target alteration	sewage
ermA	ERR1713332	0.362141414141414	MLS	antibiotic target alteration	sewage
ermB	ERR1713332	3.1059898989899	MLS	antibiotic target alteration	sewage
ermC	ERR1713332	0.334626262626263	MLS	antibiotic target alteration	sewage
ermF	ERR1713332	2.64855555555556	MLS	antibiotic target alteration	sewage
ermG	ERR1713332	0.0206161616161616	MLS	antibiotic target alteration	sewage
ermH	ERR1713332	0.0303333333333333	MLS	antibiotic target alteration	sewage
ermT	ERR1713332	0.0204747474747475	MLS	antibiotic target alteration	sewage
ermX	ERR1713332	0.108525252525253	MLS	antibiotic target alteration	sewage
Escherichia_coli_LamB	ERR1713332	0.926848484848485	multidrug	multiple mechanisms	sewage
Escherichia_coli_mipA	ERR1713332	7.22353535353535	multidrug	multiple mechanisms	sewage
ESP-1	ERR1713332	0.137232323232323	beta-lactam	antibiotic inactivation	sewage
farA	ERR1713332	0.0235353535353535	antibacterial_free_fatty_acids	antibiotic efflux	sewage
farB	ERR1713332	9.19184848484849	antibacterial_free_fatty_acids	antibiotic efflux	sewage
floR	ERR1713332	0.381959595959596	phenicol	antibiotic efflux	sewage
fosA	ERR1713332	0.0679292929292929	fosfomycin	antibiotic inactivation	sewage
FosA	ERR1713332	0.172626262626263	fosfomycin	antibiotic inactivation	sewage
FosA5	ERR1713332	0.205888888888889	fosfomycin	antibiotic inactivation	sewage
FosA6	ERR1713332	0.180131313131313	fosfomycin	antibiotic inactivation	sewage
fosB	ERR1713332	0.34259595959596	fosfomycin	antibiotic inactivation	sewage
fosX	ERR1713332	7.97868686868687	fosfomycin	antibiotic inactivation	sewage
GES-5	ERR1713332	3.67447474747475	beta-lactam	antibiotic inactivation	sewage
hmrM	ERR1713332	0.0217474747474747	multidrug	antibiotic efflux	sewage
hp1181	ERR1713332	3.98211111111111	multidrug	antibiotic efflux	sewage
ICR-Mc	ERR1713332	0.120535353535354	peptide	antibiotic target alteration	sewage
JOHN-1	ERR1713332	0.0807272727272727	beta-lactam	antibiotic inactivation	sewage
kasugamycin_resistance_protein_ksgA	ERR1713332	64.5078686868687	aminoglycoside	antibiotic target alteration	sewage
Klebsiella_pneumoniae_OmpK37	ERR1713332	0.0717474747474748	beta-lactam	reduced permeability to antibiotic	sewage
LCR-1	ERR1713332	0.266676767676768	beta-lactam	antibiotic inactivation	sewage
LEN-10	ERR1713332	0.0405454545454545	beta-lactam	antibiotic inactivation	sewage
LEN-4	ERR1713332	0.0203333333333333	beta-lactam	antibiotic inactivation	sewage
linG	ERR1713332	0.234979797979798	MLS	antibiotic inactivation	sewage
LlmA_23S_ribosomal_RNA_methyltransferase	ERR1713332	2.99181818181818	MLS	antibiotic target alteration	sewage
lmrA	ERR1713332	0.398808080808081	MLS	multiple mechanisms	sewage
lmrB	ERR1713332	0.271737373737374	MLS	antibiotic efflux	sewage
lmrD	ERR1713332	0.0804343434343434	MLS	antibiotic efflux	sewage
lmrP	ERR1713332	0.147363636363636	MLS	antibiotic efflux	sewage
lnuA	ERR1713332	0.449808080808081	MLS	antibiotic inactivation	sewage
lnuB	ERR1713332	3.59991919191919	MLS	antibiotic inactivation	sewage
lnuC	ERR1713332	0.173585858585859	MLS	antibiotic inactivation	sewage
lnuD	ERR1713332	0.663212121212121	MLS	antibiotic inactivation	sewage
lnuF	ERR1713332	0.109383838383838	MLS	antibiotic inactivation	sewage
lnuG	ERR1713332	5.03910101010101	MLS	antibiotic inactivation	sewage
LpeB	ERR1713332	1.16269696969697	MLS	antibiotic efflux	sewage
LRA-1	ERR1713332	0.729858585858586	beta-lactam	antibiotic inactivation	sewage
LRA-5	ERR1713332	0.0252121212121212	beta-lactam	antibiotic inactivation	sewage
lrfA	ERR1713332	0.0782222222222222	fluoroquinolone	antibiotic efflux	sewage
lsa	ERR1713332	0.367353535353535	MLS	antibiotic target alteration	sewage
lsaE	ERR1713332	0.520171717171717	MLS	antibiotic target alteration	sewage
macA	ERR1713332	34.5098686868687	MLS	antibiotic efflux	sewage
macB	ERR1713332	30.8257878787879	MLS	antibiotic efflux	sewage
major_facilitator_superfamily_transporter	ERR1713332	25.2504242424242	multidrug	antibiotic efflux	sewage
MCR-1	ERR1713332	0.514666666666667	peptide	antibiotic target alteration	sewage
MCR-2	ERR1713332	19.2363434343434	peptide	antibiotic target alteration	sewage
MCR-3	ERR1713332	2.13242424242424	peptide	antibiotic target alteration	sewage
MCR-4	ERR1713332	0.0625454545454545	peptide	antibiotic target alteration	sewage
MCR-5	ERR1713332	3.00528282828283	peptide	antibiotic target alteration	sewage
mdfA	ERR1713332	18.5018888888889	multidrug	antibiotic efflux	sewage
mdsA	ERR1713332	0.187787878787879	multidrug	antibiotic efflux	sewage
mdsB	ERR1713332	0.183787878787879	multidrug	antibiotic efflux	sewage
mdtA	ERR1713332	6.24094949494949	multidrug	antibiotic efflux	sewage
mdtC	ERR1713332	0.216292929292929	multidrug	antibiotic efflux	sewage
mdtD	ERR1713332	21.6321212121212	multidrug	antibiotic efflux	sewage
mdtE	ERR1713332	0.387191919191919	multidrug	antibiotic efflux	sewage
mdtF	ERR1713332	0.122030303030303	multidrug	antibiotic efflux	sewage
mdtG	ERR1713332	3.54766666666667	multidrug	antibiotic efflux	sewage
mdtH	ERR1713332	0.0628989898989899	multidrug	antibiotic efflux	sewage
mdtK	ERR1713332	8.26507070707071	multidrug	antibiotic efflux	sewage
MdtK	ERR1713332	0.308767676767677	fluoroquinolone	antibiotic efflux	sewage
mdtM	ERR1713332	0.147777777777778	multidrug	antibiotic efflux	sewage
mdtN	ERR1713332	0.266020202020202	multidrug	antibiotic efflux	sewage
mdtO	ERR1713332	0.0805353535353535	multidrug	antibiotic efflux	sewage
mdtP	ERR1713332	0.556323232323232	multidrug	antibiotic efflux	sewage
mecA	ERR1713332	0.437060606060606	beta-lactam	antibiotic target alteration	sewage
mecB	ERR1713332	0.0293131313131313	beta-lactam	antibiotic target alteration	sewage
mecC	ERR1713332	0.0558080808080808	beta-lactam	antibiotic target alteration	sewage
mef(B)	ERR1713332	0.180878787878788	MLS	antibiotic efflux	sewage
mefA	ERR1713332	2.1450101010101	MLS	antibiotic target alteration	sewage
mefC	ERR1713332	5.74133333333333	MLS	antibiotic efflux	sewage
mefE	ERR1713332	0.10040404040404	MLS	antibiotic efflux	sewage
mel	ERR1713332	2.58772727272727	MLS	antibiotic target alteration	sewage
mepA	ERR1713332	4.63055555555556	multidrug	antibiotic efflux	sewage
metallo-beta-lactamase	ERR1713332	1.8949797979798	beta-lactam	antibiotic inactivation	sewage
mexA	ERR1713332	1.56814141414141	multidrug	antibiotic efflux	sewage
mexB	ERR1713332	10.2134343434343	multidrug	antibiotic efflux	sewage
mexC	ERR1713332	1.77639393939394	multidrug	antibiotic efflux	sewage
mexD	ERR1713332	0.369848484848485	multidrug	antibiotic efflux	sewage
mexE	ERR1713332	15.3432727272727	multidrug	antibiotic efflux	sewage
mexF	ERR1713332	7.64523232323232	multidrug	antibiotic efflux	sewage
mexH	ERR1713332	3.39572727272727	multidrug	antibiotic efflux	sewage
mexI	ERR1713332	0.010030303030303	multidrug	antibiotic efflux	sewage
mexM	ERR1713332	1.99294949494949	multidrug	antibiotic efflux	sewage
mexP	ERR1713332	0.0626161616161616	multidrug	antibiotic efflux	sewage
mexQ	ERR1713332	0.0614848484848485	multidrug	antibiotic efflux	sewage
MexV	ERR1713332	6.28825252525253	multidrug	antibiotic efflux	sewage
mexW	ERR1713332	2.02890909090909	multidrug	antibiotic efflux	sewage
mexX	ERR1713332	1.8129898989899	multidrug	antibiotic efflux	sewage
MIR-11	ERR1713332	0.027040404040404	beta-lactam	antibiotic inactivation	sewage
MOX-9	ERR1713332	0.0258585858585859	beta-lactam	antibiotic inactivation	sewage
mphA	ERR1713332	0.114393939393939	MLS	antibiotic inactivation	sewage
mphD	ERR1713332	31.6652424242424	MLS	antibiotic inactivation	sewage
mphG	ERR1713332	6.33789898989899	MLS	antibiotic inactivation	sewage
Mrx	ERR1713332	0.158949494949495	MLS	antibiotic efflux	sewage
msrA	ERR1713332	0.886181818181818	MLS	antibiotic target alteration	sewage
msrC	ERR1713332	0.449	MLS	antibiotic target alteration	sewage
msrE	ERR1713332	31.761797979798	MLS	antibiotic target alteration	sewage
mtrC	ERR1713332	4.70675757575758	multidrug	antibiotic efflux	sewage
mtrD	ERR1713332	15.321696969697	multidrug	antibiotic efflux	sewage
mtrE	ERR1713332	3.9850202020202	multidrug	antibiotic efflux	sewage
multidrug_ABC_transporter	ERR1713332	189.824393939394	multidrug	antibiotic efflux	sewage
MuxA	ERR1713332	0.699191919191919	multidrug	antibiotic efflux	sewage
MuxB	ERR1713332	0.066040404040404	multidrug	antibiotic efflux	sewage
MuxC	ERR1713332	0.0971111111111111	multidrug	antibiotic efflux	sewage
myrA	ERR1713332	0.448252525252525	MLS	antibiotic target alteration	sewage
norB	ERR1713332	1.83778787878788	fluoroquinolone	antibiotic efflux	sewage
NPS-1	ERR1713332	0.0185252525252525	beta-lactam	antibiotic inactivation	sewage
oleB	ERR1713332	1.87976767676768	MLS	antibiotic target alteration	sewage
omp36	ERR1713332	0.131737373737374	multidrug	reduced permeability to antibiotic	sewage
ompF	ERR1713332	1.17450505050505	multidrug	reduced permeability to antibiotic	sewage
opcM	ERR1713332	3.83950505050505	multidrug	antibiotic efflux	sewage
OpmB	ERR1713332	0.95349494949495	multidrug	antibiotic efflux	sewage
opmD	ERR1713332	0.020979797979798	multidrug	antibiotic efflux	sewage
OpmH	ERR1713332	0.270020202020202	triclosan	antibiotic efflux	sewage
oprA	ERR1713332	0.047030303030303	multidrug	antibiotic efflux	sewage
OprA	ERR1713332	0.444676767676768	multidrug	antibiotic efflux	sewage
oprJ	ERR1713332	0.0322323232323232	multidrug	antibiotic efflux	sewage
oprM	ERR1713332	64.6892424242424	multidrug	antibiotic efflux	sewage
oprN	ERR1713332	2.32574747474747	multidrug	antibiotic efflux	sewage
