sample	core_label_1	sampleCollection	type_distance	distKb
FJ_tailings	tetracycline	Tailing	mediam_leastDistance	6.044
FJ_tailings	unclassified	Tailing	mediam_leastDistance	9.6745
FK.HZS	aminoglycoside	pubAMD	mediam_leastDistance	5.502
FK.HZS	bacitracin	pubAMD	mediam_leastDistance	18.253
FK.HZS	beta-lactam	pubAMD	mediam_leastDistance	2.894
FK.HZS	glycopeptide	pubAMD	mediam_leastDistance	40.451
FK.HZS	MLS	pubAMD	mediam_leastDistance	29.96
FK.HZS	multidrug	pubAMD	mediam_leastDistance	19.0235
FK.HZS	mupirocin	pubAMD	mediam_leastDistance	11.7395
FK.HZS	other	pubAMD	mediam_leastDistance	16.313
FK.HZS	phenicol	pubAMD	mediam_leastDistance	7.243
FK.HZS	sulfonamide	pubAMD	mediam_leastDistance	15.285
FK.HZS	tetracycline	pubAMD	mediam_leastDistance	22.471
FK.HZS	unclassified	pubAMD	mediam_leastDistance	132.679
FK.sed2	bacitracin	pubAMD	mediam_leastDistance	6.2225
FK.sed2	beta-lactam	pubAMD	mediam_leastDistance	13.2585
FK.sed2	glycopeptide	pubAMD	mediam_leastDistance	19.902
FK.sed2	multidrug	pubAMD	mediam_leastDistance	5.209
FK.sed2	other	pubAMD	mediam_leastDistance	5.901
FK.sed2	tetracycline	pubAMD	mediam_leastDistance	25.205
FK.sed3	bacitracin	pubAMD	mediam_leastDistance	4.2135
FK.sed3	MLS	pubAMD	mediam_leastDistance	29.96
FK.sed3	other	pubAMD	mediam_leastDistance	40.703
FK.sed3	phenicol	pubAMD	mediam_leastDistance	17.2545
FK.sed3	sulfonamide	pubAMD	mediam_leastDistance	26.304
FK.sed3	tetracycline	pubAMD	mediam_leastDistance	0.83
FK.sed4	aminoglycoside	pubAMD	mediam_leastDistance	7.896
FK.sed4	bacitracin	pubAMD	mediam_leastDistance	3.83
FK.sed4	MLS	pubAMD	mediam_leastDistance	30.154
FK.sed4	multidrug	pubAMD	mediam_leastDistance	4.6815
FK.sed4	other	pubAMD	mediam_leastDistance	9.663
FK.sed4	phenicol	pubAMD	mediam_leastDistance	2.95
FK.sed4	sulfonamide	pubAMD	mediam_leastDistance	40.207
FK.sed4	tetracycline	pubAMD	mediam_leastDistance	0.4765
FK.sed5	bacitracin	pubAMD	mediam_leastDistance	11.6835
FK.sed5	mupirocin	pubAMD	mediam_leastDistance	21.332
FK.sed5	other	pubAMD	mediam_leastDistance	11.524
FK.sed5	phenicol	pubAMD	mediam_leastDistance	16.814
FK.water	aminoglycoside	pubAMD	mediam_leastDistance	18.711
FK.water	bacitracin	pubAMD	mediam_leastDistance	23.466
FK.water	beta-lactam	pubAMD	mediam_leastDistance	38.31
FK.water	glycopeptide	pubAMD	mediam_leastDistance	0.412
FK.water	MLS	pubAMD	mediam_leastDistance	21.451
FK.water	multidrug	pubAMD	mediam_leastDistance	8.496
FK.water	mupirocin	pubAMD	mediam_leastDistance	22.303
FK.water	other	pubAMD	mediam_leastDistance	10.948
FK.water	phenicol	pubAMD	mediam_leastDistance	2.9
FK.water	sulfonamide	pubAMD	mediam_leastDistance	8.313
FK.water	tetracycline	pubAMD	mediam_leastDistance	23.4265
FK.water	unclassified	pubAMD	mediam_leastDistance	113.102
FK1	aminoglycoside	pubAMD	mediam_leastDistance	17.1355
FK1	bacitracin	pubAMD	mediam_leastDistance	9.4925
FK1	beta-lactam	pubAMD	mediam_leastDistance	29.9
FK1	glycopeptide	pubAMD	mediam_leastDistance	72.8955
FK1	MLS	pubAMD	mediam_leastDistance	32.811
FK1	multidrug	pubAMD	mediam_leastDistance	15.406
FK1	mupirocin	pubAMD	mediam_leastDistance	45.512
FK1	other	pubAMD	mediam_leastDistance	22.766
FK1	phenicol	pubAMD	mediam_leastDistance	3.196
FK1	sulfonamide	pubAMD	mediam_leastDistance	30
FK1	tetracycline	pubAMD	mediam_leastDistance	23.258
FK1	unclassified	pubAMD	mediam_leastDistance	21.452
FX_tailings	aminoglycoside	Tailing	mediam_leastDistance	16.395
FX_tailings	bacitracin	Tailing	mediam_leastDistance	1.022
FX_tailings	beta-lactam	Tailing	mediam_leastDistance	46.171
FX_tailings	glycopeptide	Tailing	mediam_leastDistance	2.162
FX_tailings	MLS	Tailing	mediam_leastDistance	34.66
FX_tailings	multidrug	Tailing	mediam_leastDistance	19.968
FX_tailings	other	Tailing	mediam_leastDistance	5.133
FX_tailings	phenicol	Tailing	mediam_leastDistance	13.897
FX_tailings	sulfonamide	Tailing	mediam_leastDistance	19.27
FX_tailings	tetracycline	Tailing	mediam_leastDistance	9.238
FX_tailings	unclassified	Tailing	mediam_leastDistance	20.07
GD_tailings	aminoglycoside	Tailing	mediam_leastDistance	9.203
GD_tailings	bacitracin	Tailing	mediam_leastDistance	7.1395
GD_tailings	beta-lactam	Tailing	mediam_leastDistance	12.797
GD_tailings	glycopeptide	Tailing	mediam_leastDistance	20.594
GD_tailings	MLS	Tailing	mediam_leastDistance	18.746
GD_tailings	multidrug	Tailing	mediam_leastDistance	17.742
GD_tailings	mupirocin	Tailing	mediam_leastDistance	19.525
GD_tailings	other	Tailing	mediam_leastDistance	8.084
GD_tailings	phenicol	Tailing	mediam_leastDistance	7.3565
GD_tailings	sulfonamide	Tailing	mediam_leastDistance	3.62
GD_tailings	tetracycline	Tailing	mediam_leastDistance	12.336
GD_tailings	unclassified	Tailing	mediam_leastDistance	15.352
GS_tailings	aminoglycoside	Tailing	mediam_leastDistance	2.8385
GS_tailings	bacitracin	Tailing	mediam_leastDistance	0.604
GS_tailings	beta-lactam	Tailing	mediam_leastDistance	7.646
GS_tailings	glycopeptide	Tailing	mediam_leastDistance	10.455
GS_tailings	MLS	Tailing	mediam_leastDistance	18.331
GS_tailings	multidrug	Tailing	mediam_leastDistance	13.925
GS_tailings	other	Tailing	mediam_leastDistance	5.734
GS_tailings	phenicol	Tailing	mediam_leastDistance	2.4325
GS_tailings	tetracycline	Tailing	mediam_leastDistance	2.947
GS_tailings	unclassified	Tailing	mediam_leastDistance	11.4535
GX_tailings	aminoglycoside	Tailing	mediam_leastDistance	11.621
GX_tailings	bacitracin	Tailing	mediam_leastDistance	8.588
GX_tailings	beta-lactam	Tailing	mediam_leastDistance	29.4365
GX_tailings	glycopeptide	Tailing	mediam_leastDistance	20.485
GX_tailings	MLS	Tailing	mediam_leastDistance	16.957
GX_tailings	multidrug	Tailing	mediam_leastDistance	15.772
GX_tailings	mupirocin	Tailing	mediam_leastDistance	23.0145
GX_tailings	other	Tailing	mediam_leastDistance	11.133
GX_tailings	phenicol	Tailing	mediam_leastDistance	12.145
GX_tailings	sulfonamide	Tailing	mediam_leastDistance	21.395
GX_tailings	tetracycline	Tailing	mediam_leastDistance	17.754
GX_tailings	unclassified	Tailing	mediam_leastDistance	12.753
GZ_tailings	aminoglycoside	Tailing	mediam_leastDistance	5.4035
GZ_tailings	bacitracin	Tailing	mediam_leastDistance	13.7675
GZ_tailings	beta-lactam	Tailing	mediam_leastDistance	19.3565
GZ_tailings	glycopeptide	Tailing	mediam_leastDistance	5.047
GZ_tailings	MLS	Tailing	mediam_leastDistance	12.781
GZ_tailings	multidrug	Tailing	mediam_leastDistance	22.816
GZ_tailings	mupirocin	Tailing	mediam_leastDistance	35.344
GZ_tailings	other	Tailing	mediam_leastDistance	9.072
GZ_tailings	phenicol	Tailing	mediam_leastDistance	21.3515
GZ_tailings	sulfonamide	Tailing	mediam_leastDistance	7.489
GZ_tailings	tetracycline	Tailing	mediam_leastDistance	9.7445
GZ_tailings	unclassified	Tailing	mediam_leastDistance	5.768
HeB_tailings	aminoglycoside	Tailing	mediam_leastDistance	2.24
HeB_tailings	bacitracin	Tailing	mediam_leastDistance	5.555
HeB_tailings	beta-lactam	Tailing	mediam_leastDistance	8.4965
HeB_tailings	glycopeptide	Tailing	mediam_leastDistance	22.717
HeB_tailings	MLS	Tailing	mediam_leastDistance	58.33
HeB_tailings	multidrug	Tailing	mediam_leastDistance	21.423
HeB_tailings	other	Tailing	mediam_leastDistance	8.605
HeB_tailings	phenicol	Tailing	mediam_leastDistance	80.915
HeB_tailings	sulfonamide	Tailing	mediam_leastDistance	20.018
HeB_tailings	tetracycline	Tailing	mediam_leastDistance	29.7325
HeB_tailings	unclassified	Tailing	mediam_leastDistance	36.2335
HLJ_tailings	aminoglycoside	Tailing	mediam_leastDistance	15.4325
HLJ_tailings	bacitracin	Tailing	mediam_leastDistance	6.951
HLJ_tailings	beta-lactam	Tailing	mediam_leastDistance	16.9835
HLJ_tailings	glycopeptide	Tailing	mediam_leastDistance	11.016
HLJ_tailings	MLS	Tailing	mediam_leastDistance	24.399
HLJ_tailings	multidrug	Tailing	mediam_leastDistance	19.612
HLJ_tailings	mupirocin	Tailing	mediam_leastDistance	20.736
HLJ_tailings	other	Tailing	mediam_leastDistance	17.128
HLJ_tailings	phenicol	Tailing	mediam_leastDistance	8.26
HLJ_tailings	sulfonamide	Tailing	mediam_leastDistance	17.5355
HLJ_tailings	tetracycline	Tailing	mediam_leastDistance	5.962
HLJ_tailings	unclassified	Tailing	mediam_leastDistance	17.647
HuB_tailings	aminoglycoside	Tailing	mediam_leastDistance	1.884
HuB_tailings	bacitracin	Tailing	mediam_leastDistance	0.301
HuB_tailings	beta-lactam	Tailing	mediam_leastDistance	0.587
HuB_tailings	multidrug	Tailing	mediam_leastDistance	4.105
HuB_tailings	other	Tailing	mediam_leastDistance	18.962
HuB_tailings	unclassified	Tailing	mediam_leastDistance	0.668
HuN_tailings	aminoglycoside	Tailing	mediam_leastDistance	10.7
HuN_tailings	bacitracin	Tailing	mediam_leastDistance	13.489
HuN_tailings	beta-lactam	Tailing	mediam_leastDistance	19.811
HuN_tailings	glycopeptide	Tailing	mediam_leastDistance	11.411
HuN_tailings	MLS	Tailing	mediam_leastDistance	6.519
HuN_tailings	multidrug	Tailing	mediam_leastDistance	9.476
HuN_tailings	mupirocin	Tailing	mediam_leastDistance	61.972
HuN_tailings	other	Tailing	mediam_leastDistance	10.817
HuN_tailings	phenicol	Tailing	mediam_leastDistance	10.2615
HuN_tailings	sulfonamide	Tailing	mediam_leastDistance	14.81
HuN_tailings	tetracycline	Tailing	mediam_leastDistance	12.946
HuN_tailings	unclassified	Tailing	mediam_leastDistance	7.856
I1	bacitracin	pubAMD	mediam_leastDistance	0.167
I1	glycopeptide	pubAMD	mediam_leastDistance	5.28
I1	multidrug	pubAMD	mediam_leastDistance	2.51
I1	other	pubAMD	mediam_leastDistance	22.482
I2	bacitracin	pubAMD	mediam_leastDistance	0.167
I2	glycopeptide	pubAMD	mediam_leastDistance	5.5725
I2	multidrug	pubAMD	mediam_leastDistance	1.595
I2	other	pubAMD	mediam_leastDistance	22.6755
JS_tailings	aminoglycoside	Tailing	mediam_leastDistance	4.096
JS_tailings	bacitracin	Tailing	mediam_leastDistance	3.032
JS_tailings	beta-lactam	Tailing	mediam_leastDistance	8.495
JS_tailings	glycopeptide	Tailing	mediam_leastDistance	9.49
JS_tailings	MLS	Tailing	mediam_leastDistance	15.348
JS_tailings	multidrug	Tailing	mediam_leastDistance	15.1365
JS_tailings	mupirocin	Tailing	mediam_leastDistance	28.3745
JS_tailings	other	Tailing	mediam_leastDistance	11.654
JS_tailings	phenicol	Tailing	mediam_leastDistance	4.99
JS_tailings	sulfonamide	Tailing	mediam_leastDistance	13.603
JS_tailings	tetracycline	Tailing	mediam_leastDistance	6.929
JS_tailings	unclassified	Tailing	mediam_leastDistance	3.0175
JX_tailings	aminoglycoside	Tailing	mediam_leastDistance	7.275
JX_tailings	bacitracin	Tailing	mediam_leastDistance	6.367
JX_tailings	beta-lactam	Tailing	mediam_leastDistance	15.727
JX_tailings	glycopeptide	Tailing	mediam_leastDistance	20.308
JX_tailings	MLS	Tailing	mediam_leastDistance	12.656
JX_tailings	multidrug	Tailing	mediam_leastDistance	11.8025
JX_tailings	mupirocin	Tailing	mediam_leastDistance	63.576
JX_tailings	other	Tailing	mediam_leastDistance	12.5255
JX_tailings	phenicol	Tailing	mediam_leastDistance	9.437
JX_tailings	sulfonamide	Tailing	mediam_leastDistance	10.4875
JX_tailings	tetracycline	Tailing	mediam_leastDistance	9.72
JX_tailings	unclassified	Tailing	mediam_leastDistance	9.003
LD180201-0001	aminoglycoside	AMDSedi	mediam_leastDistance	8.223
LD180201-0001	bacitracin	AMDSedi	mediam_leastDistance	11.748
LD180201-0001	beta-lactam	AMDSedi	mediam_leastDistance	14.666
LD180201-0001	glycopeptide	AMDSedi	mediam_leastDistance	15.454
LD180201-0001	MLS	AMDSedi	mediam_leastDistance	1.564
LD180201-0001	multidrug	AMDSedi	mediam_leastDistance	26.49
LD180201-0001	mupirocin	AMDSedi	mediam_leastDistance	4.13
LD180201-0001	other	AMDSedi	mediam_leastDistance	9.3135
LD180201-0001	phenicol	AMDSedi	mediam_leastDistance	2.95
LD180201-0001	sulfonamide	AMDSedi	mediam_leastDistance	39.832
LD180201-0001	tetracycline	AMDSedi	mediam_leastDistance	18.2775
LD180201-0001	unclassified	AMDSedi	mediam_leastDistance	22.1415
LD180201-0003	aminoglycoside	AMDSedi	mediam_leastDistance	15.543
LD180201-0003	bacitracin	AMDSedi	mediam_leastDistance	9.639
LD180201-0003	beta-lactam	AMDSedi	mediam_leastDistance	36.547
LD180201-0003	glycopeptide	AMDSedi	mediam_leastDistance	17.4145
LD180201-0003	MLS	AMDSedi	mediam_leastDistance	29.519
LD180201-0003	multidrug	AMDSedi	mediam_leastDistance	31.2805
LD180201-0003	mupirocin	AMDSedi	mediam_leastDistance	4.1305
LD180201-0003	other	AMDSedi	mediam_leastDistance	24.741
LD180201-0003	phenicol	AMDSedi	mediam_leastDistance	7.927
LD180201-0003	sulfonamide	AMDSedi	mediam_leastDistance	18.142
LD180201-0003	tetracycline	AMDSedi	mediam_leastDistance	22.373
LD180201-0003	unclassified	AMDSedi	mediam_leastDistance	22.778
LD180201-0005	aminoglycoside	AMDSedi	mediam_leastDistance	27.005
LD180201-0005	bacitracin	AMDSedi	mediam_leastDistance	20.984
LD180201-0005	beta-lactam	AMDSedi	mediam_leastDistance	34.8375
LD180201-0005	glycopeptide	AMDSedi	mediam_leastDistance	16.666
LD180201-0005	MLS	AMDSedi	mediam_leastDistance	13.076
LD180201-0005	multidrug	AMDSedi	mediam_leastDistance	35.992
LD180201-0005	other	AMDSedi	mediam_leastDistance	20.5175
LD180201-0005	phenicol	AMDSedi	mediam_leastDistance	34.126
LD180201-0005	sulfonamide	AMDSedi	mediam_leastDistance	16.332
LD180201-0005	tetracycline	AMDSedi	mediam_leastDistance	13.548
LD180201-0005	unclassified	AMDSedi	mediam_leastDistance	22.756
LD180201-0006	aminoglycoside	AMDSedi	mediam_leastDistance	16.5585
LD180201-0006	bacitracin	AMDSedi	mediam_leastDistance	38.262
LD180201-0006	beta-lactam	AMDSedi	mediam_leastDistance	29.5995
LD180201-0006	glycopeptide	AMDSedi	mediam_leastDistance	28.457
LD180201-0006	MLS	AMDSedi	mediam_leastDistance	21.248
LD180201-0006	multidrug	AMDSedi	mediam_leastDistance	45.8445
LD180201-0006	mupirocin	AMDSedi	mediam_leastDistance	30.9685
LD180201-0006	other	AMDSedi	mediam_leastDistance	32.0105
LD180201-0006	phenicol	AMDSedi	mediam_leastDistance	60.3785
LD180201-0006	sulfonamide	AMDSedi	mediam_leastDistance	17.8965
LD180201-0006	tetracycline	AMDSedi	mediam_leastDistance	12.13
LD180201-0006	unclassified	AMDSedi	mediam_leastDistance	27.535
LD180201-0007	aminoglycoside	AMDSedi	mediam_leastDistance	18.731
LD180201-0007	bacitracin	AMDSedi	mediam_leastDistance	18.052
LD180201-0007	beta-lactam	AMDSedi	mediam_leastDistance	30.509
LD180201-0007	glycopeptide	AMDSedi	mediam_leastDistance	15.487
LD180201-0007	MLS	AMDSedi	mediam_leastDistance	11.5395
LD180201-0007	multidrug	AMDSedi	mediam_leastDistance	23.158
LD180201-0007	mupirocin	AMDSedi	mediam_leastDistance	50.9525
LD180201-0007	other	AMDSedi	mediam_leastDistance	19.1335
LD180201-0007	phenicol	AMDSedi	mediam_leastDistance	9.861
LD180201-0007	sulfonamide	AMDSedi	mediam_leastDistance	36.6785
LD180201-0007	tetracycline	AMDSedi	mediam_leastDistance	22.2515
LD180201-0007	unclassified	AMDSedi	mediam_leastDistance	36.4755
LD180201-0008	aminoglycoside	AMDSedi	mediam_leastDistance	18.1785
LD180201-0008	bacitracin	AMDSedi	mediam_leastDistance	28.914
LD180201-0008	beta-lactam	AMDSedi	mediam_leastDistance	30.118
LD180201-0008	glycopeptide	AMDSedi	mediam_leastDistance	21.922
LD180201-0008	MLS	AMDSedi	mediam_leastDistance	19.7205
LD180201-0008	multidrug	AMDSedi	mediam_leastDistance	32.662
LD180201-0008	mupirocin	AMDSedi	mediam_leastDistance	32.184
LD180201-0008	other	AMDSedi	mediam_leastDistance	20.5175
LD180201-0008	phenicol	AMDSedi	mediam_leastDistance	34.455
LD180201-0008	sulfonamide	AMDSedi	mediam_leastDistance	29.931
LD180201-0008	tetracycline	AMDSedi	mediam_leastDistance	21.3925
LD180201-0008	unclassified	AMDSedi	mediam_leastDistance	16.674
LD180201-0009	aminoglycoside	AMDSedi	mediam_leastDistance	23.189
LD180201-0009	bacitracin	AMDSedi	mediam_leastDistance	15.881
LD180201-0009	beta-lactam	AMDSedi	mediam_leastDistance	29.869
LD180201-0009	glycopeptide	AMDSedi	mediam_leastDistance	28.457
LD180201-0009	MLS	AMDSedi	mediam_leastDistance	38.168
LD180201-0009	multidrug	AMDSedi	mediam_leastDistance	33.971
LD180201-0009	mupirocin	AMDSedi	mediam_leastDistance	43.676
LD180201-0009	other	AMDSedi	mediam_leastDistance	20.96
LD180201-0009	phenicol	AMDSedi	mediam_leastDistance	52.513
LD180201-0009	sulfonamide	AMDSedi	mediam_leastDistance	18.462
LD180201-0009	tetracycline	AMDSedi	mediam_leastDistance	21.157
LD180201-0009	unclassified	AMDSedi	mediam_leastDistance	17.638
LD180201-0010	aminoglycoside	AMDSedi	mediam_leastDistance	55.27
LD180201-0010	bacitracin	AMDSedi	mediam_leastDistance	30.543
LD180201-0010	beta-lactam	AMDSedi	mediam_leastDistance	34.385
LD180201-0010	glycopeptide	AMDSedi	mediam_leastDistance	30.508
LD180201-0010	MLS	AMDSedi	mediam_leastDistance	97.554
LD180201-0010	multidrug	AMDSedi	mediam_leastDistance	46.728
LD180201-0010	other	AMDSedi	mediam_leastDistance	23.555
LD180201-0010	phenicol	AMDSedi	mediam_leastDistance	68.214
LD180201-0010	sulfonamide	AMDSedi	mediam_leastDistance	16.1
LD180201-0010	tetracycline	AMDSedi	mediam_leastDistance	11.139
LD180201-0010	unclassified	AMDSedi	mediam_leastDistance	27.535
LD180201-0011	aminoglycoside	AMDSedi	mediam_leastDistance	15.413
LD180201-0011	bacitracin	AMDSedi	mediam_leastDistance	16.1455
LD180201-0011	beta-lactam	AMDSedi	mediam_leastDistance	34.385
LD180201-0011	glycopeptide	AMDSedi	mediam_leastDistance	10.4335
LD180201-0011	MLS	AMDSedi	mediam_leastDistance	38.168
LD180201-0011	multidrug	AMDSedi	mediam_leastDistance	24.1605
LD180201-0011	other	AMDSedi	mediam_leastDistance	13.076
LD180201-0011	phenicol	AMDSedi	mediam_leastDistance	2.971
LD180201-0011	sulfonamide	AMDSedi	mediam_leastDistance	27.0845
LD180201-0011	tetracycline	AMDSedi	mediam_leastDistance	31.008
LD180201-0011	unclassified	AMDSedi	mediam_leastDistance	10.8085
LD180201-0012	aminoglycoside	AMDSedi	mediam_leastDistance	14.859
LD180201-0012	bacitracin	AMDSedi	mediam_leastDistance	9.5805
LD180201-0012	beta-lactam	AMDSedi	mediam_leastDistance	19.274
LD180201-0012	glycopeptide	AMDSedi	mediam_leastDistance	30.8255
LD180201-0012	MLS	AMDSedi	mediam_leastDistance	7.7685
LD180201-0012	multidrug	AMDSedi	mediam_leastDistance	16.117
LD180201-0012	mupirocin	AMDSedi	mediam_leastDistance	19.6385
LD180201-0012	other	AMDSedi	mediam_leastDistance	15.72
LD180201-0012	phenicol	AMDSedi	mediam_leastDistance	13.1445
LD180201-0012	sulfonamide	AMDSedi	mediam_leastDistance	31.963
LD180201-0012	tetracycline	AMDSedi	mediam_leastDistance	22.41
LD180201-0012	unclassified	AMDSedi	mediam_leastDistance	12.286
LD180201-0013	aminoglycoside	AMDSedi	mediam_leastDistance	15.626
LD180201-0013	bacitracin	AMDSedi	mediam_leastDistance	15.221
LD180201-0013	beta-lactam	AMDSedi	mediam_leastDistance	33.311
LD180201-0013	glycopeptide	AMDSedi	mediam_leastDistance	28.457
LD180201-0013	MLS	AMDSedi	mediam_leastDistance	27.712
LD180201-0013	multidrug	AMDSedi	mediam_leastDistance	29.677
LD180201-0013	mupirocin	AMDSedi	mediam_leastDistance	69.568
LD180201-0013	other	AMDSedi	mediam_leastDistance	38.6525
LD180201-0013	phenicol	AMDSedi	mediam_leastDistance	51.283
LD180201-0013	sulfonamide	AMDSedi	mediam_leastDistance	36.751
LD180201-0013	tetracycline	AMDSedi	mediam_leastDistance	24.2455
LD180201-0013	unclassified	AMDSedi	mediam_leastDistance	13.528
LD180201-0014	aminoglycoside	AMDSedi	mediam_leastDistance	13.9325
LD180201-0014	bacitracin	AMDSedi	mediam_leastDistance	31.721
LD180201-0014	beta-lactam	AMDSedi	mediam_leastDistance	8.386
LD180201-0014	glycopeptide	AMDSedi	mediam_leastDistance	1.28
LD180201-0014	MLS	AMDSedi	mediam_leastDistance	13.563
